Correct ratio,Noise_level,Reaction Time (s),Correct,Correct Note Number,Interference Note Number
0.5,0.1,13.980103299298362,True,6,7
0.3,0.3,0.797528060065801,True,2,7
0.3,0.3,1.0004924766945535,True,5,1
0.3,0.3,1.20680213,True,2,6
0.3,0.3,1.362867832,False,6,2
0.3,0.3,1.4127193083148897,True,3,7
0.3,0.3,1.437196519410339,False,5,6
0.3,0.3,1.46973272974562,False,3,5
0.3,0.3,1.54873816304563,True,2,5
0.3,0.3,1.651147604,True,3,7
0.3,0.3,1.739548734759439,False,4,1
0.3,0.3,1.767513318079391,True,3,7
0.3,0.3,1.9848884823423425,False,2,5
0.3,0.3,1.999953747,True,4,7
0.3,0.3,2.021843515899637,False,4,7
0.3,0.3,2.152227613255038,True,5,7
0.3,0.3,2.2350083346350536,True,3,7
0.3,0.3,2.532548232201585,True,6,1
0.3,0.3,2.781354904,False,3,6
0.3,0.3,2.9165689945220947,True,5,1
0.3,0.3,2.9442203993451286,False,6,3
0.3,0.3,3.0687909372897195,True,4,5
0.3,0.3,3.101222276687622,True,3,7
0.3,0.3,3.223904848098755,False,6,1
0.3,0.3,3.239686727523804,True,2,7
0.3,0.3,3.439754806824604,False,5,7
0.3,0.3,3.5941641330718994,True,5,2
0.3,0.3,3.8618224970018136,False,2,7
0.3,0.3,3.891828399033702,False,3,2
0.3,0.3,4.13603149229083,True,6,4
0.3,0.3,4.365769147872925,True,5,2
0.3,0.3,4.366902828216553,True,5,1
0.3,0.3,4.444024324417114,True,6,1
0.3,0.3,4.816829442977905,False,6,3
0.3,0.3,4.832467194472751,False,2,4
0.3,0.3,4.838073015213013,True,2,6
0.3,0.3,4.921681362124769,True,6,5
0.3,0.3,5.105676277613339,True,5,6
0.3,0.3,5.1318024174973225,False,4,3
0.3,0.3,5.270860618824845,True,5,1
0.3,0.3,5.511361199271181,True,6,2
0.3,0.3,5.522241646063792,True,5,3
0.3,0.3,5.5485537417337945,True,3,4
0.3,0.3,5.658036554919551,True,6,1
0.3,0.3,5.856080262358894,False,2,5
0.3,0.3,5.884483575820923,True,3,7
0.3,0.3,6.041538287160419,False,3,1
0.3,0.3,6.244676113128662,False,4,7
0.3,0.3,6.539090871810913,True,3,6
0.3,0.3,6.570584297180176,True,4,7
0.3,0.3,6.772618600512195,True,4,5
0.3,0.3,7.7749498962750465,False,4,6
0.3,0.3,7.914693684748632,True,6,5
0.3,0.3,8.08111841284352,True,3,6
0.3,0.3,8.210492610931396,True,3,6
0.3,0.3,8.506199082150605,False,5,1
0.3,0.3,9.18953078685231,False,3,6
0.3,0.3,9.2347975923459,False,6,3
0.3,0.3,9.32442378748239,True,4,5
0.3,0.3,9.54438360693941,True,5,1
0.3,0.3,9.565221933466436,False,5,6
0.3,0.3,10.030303075930064,True,5,4
0.3,0.3,10.563639675149716,True,5,7
0.3,0.3,11.089662965758802,True,2,3
0.3,0.3,11.261359046558718,False,2,7
0.3,0.3,11.781628216744531,True,3,5
0.3,0.3,12.0023892354234,True,3,4
0.3,0.3,12.336915431432432,False,6,5
0.3,0.3,12.973457843758,True,4,2
